"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Z1_a[1]",0,0,0,0,0,0,0,1,1
"Z1_a[2]",0,0,0,0,0,0,0,1,1
"Z1_a[3]",0.970392156862745,0.169511167255583,0,1,1,1,1,1.00095039849483,10000
"Z1_a[4]",0.970588235294118,0.168966007748632,0,1,1,1,1,1.00839474267214,2000
"Z1_a[5]",0,0,0,0,0,0,0,1,1
"Z1_a[6]",0,0,0,0,0,0,0,1,1
"Z1_a[7]",0.972647058823529,0.163117645737044,0,1,1,1,1,1.0008664726752,10000
"Z1_a[8]",0,0,0,0,0,0,0,1,1
"Z1_a[9]",0,0,0,0,0,0,0,1,1
"Z1_a[10]",1,0,1,1,1,1,1,1,1
"Z1_a[11]",0.953235294117647,0.2111448293566,0,1,1,1,1,1.00089142556146,10000
"Z1_a[12]",0,0,0,0,0,0,0,1,1
"Z1_a[13]",0.970196078431373,0.170054352996764,0,1,1,1,1,1.00133764451608,10000
"Z1_a[14]",0.91656862745098,0.276546698541568,0,1,1,1,1,1.00091871617723,10000
"Z1_a[15]",0.971666666666667,0.165931476502413,0,1,1,1,1,1.00093585048064,10000
"Z1_a[16]",0,0,0,0,0,0,0,1,1
"Z1_a[17]",0,0,0,0,0,0,0,1,1
"Z1_a[18]",0,0,0,0,0,0,0,1,1
"Z1_a[19]",0.971862745098039,0.165373005619597,0,1,1,1,1,1.00218244975094,7800
"Z1_a[20]",0,0,0,0,0,0,0,1,1
"Z1_a[21]",0.968333333333333,0.175119660367607,0,1,1,1,1,1.00088956055921,10000
"Z1_a[22]",1,0,1,1,1,1,1,1,1
"Z1_a[23]",0.918235294117647,0.274019342721852,0,1,1,1,1,1.00121113851454,5600
"Z1_a[24]",0,0,0,0,0,0,0,1,1
"Z1_a[25]",0,0,0,0,0,0,0,1,1
"Z1_a[26]",0.972843137254902,0.162548324934387,0,1,1,1,1,1.00090881892032,10000
"Z1_a[27]",0.966470588235294,0.180023241839381,0,1,1,1,1,1.00249768470387,5800
"Z1_a[28]",0,0,0,0,0,0,0,1,1
"Z1_a[29]",0.953137254901961,0.211355169632723,0,1,1,1,1,1.0009576846466,10000
"Z1_a[30]",0.958039215686274,0.200509397445457,0,1,1,1,1,1.00297863182596,4000
"Z1_a[31]",0.948235294117647,0.221562482938513,0,1,1,1,1,1.00103591942348,10000
"Z1_a[32]",0,0,0,0,0,0,0,1,1
"Z1_a[33]",0,0,0,0,0,0,0,1,1
"Z1_a[34]",0,0,0,0,0,0,0,1,1
"Z1_a[35]",0.967352941176471,0.1777197931468,0,1,1,1,1,1.00211647212522,7000
"Z1_a[36]",0.967352941176471,0.1777197931468,0,1,1,1,1,1.00088052872782,10000
"Z1_a[37]",0.970098039215686,0.170325211609017,0,1,1,1,1,1.00093552359261,10000
"Z1_a[38]",0.969313725490196,0.172474761899663,0,1,1,1,1,1.00281315727945,5700
"Z1_a[39]",0.91656862745098,0.276546698541568,0,1,1,1,1,1.00093758737412,10000
"Z1_a[40]",1,0,1,1,1,1,1,1,1
"Z1_a[41]",0.975588235294118,0.154331349906939,1,1,1,1,1,1.00307112058324,6500
"Z1_a[42]",0.910196078431373,0.285914658018926,0,1,1,1,1,1.00124138613816,5100
"Z1_a[43]",0.971372549019608,0.166765243875138,0,1,1,1,1,1.00405154722823,4300
"Z1_a[44]",0,0,0,0,0,0,0,1,1
"Z1_a[45]",0.919705882352941,0.271761316098244,0,1,1,1,1,1.00095993510889,10000
"Z1_b[1]",1,0,1,1,1,1,1,1,1
"Z1_b[2]",1,0,1,1,1,1,1,1,1
"Z1_b[3]",0.0296078431372549,0.169511167255583,0,0,0,0,1,1.00095039849483,10000
"Z1_b[4]",0.0294117647058824,0.168966007748632,0,0,0,0,1,1.00839474267214,2000
"Z1_b[5]",1,0,1,1,1,1,1,1,1
"Z1_b[6]",1,0,1,1,1,1,1,1,1
"Z1_b[7]",0.0273529411764706,0.163117645737044,0,0,0,0,1,1.0008664726752,10000
"Z1_b[8]",1,0,1,1,1,1,1,1,1
"Z1_b[9]",1,0,1,1,1,1,1,1,1
"Z1_b[10]",0,0,0,0,0,0,0,1,1
"Z1_b[11]",0.0467647058823529,0.2111448293566,0,0,0,0,1,1.00089142556146,10000
"Z1_b[12]",1,0,1,1,1,1,1,1,1
"Z1_b[13]",0.0298039215686275,0.170054352996764,0,0,0,0,1,1.00133764451608,10000
"Z1_b[14]",0.0834313725490196,0.276546698541568,0,0,0,0,1,1.00091871617723,10000
"Z1_b[15]",0.0283333333333333,0.165931476502413,0,0,0,0,1,1.00093585048064,10000
"Z1_b[16]",1,0,1,1,1,1,1,1,1
"Z1_b[17]",1,0,1,1,1,1,1,1,1
"Z1_b[18]",1,0,1,1,1,1,1,1,1
"Z1_b[19]",0.0281372549019608,0.165373005619597,0,0,0,0,1,1.00218244975094,7800
"Z1_b[20]",1,0,1,1,1,1,1,1,1
"Z1_b[21]",0.0316666666666667,0.175119660367607,0,0,0,0,1,1.00088956055921,10000
"Z1_b[22]",0,0,0,0,0,0,0,1,1
"Z1_b[23]",0.0817647058823529,0.274019342721852,0,0,0,0,1,1.00121113851454,5600
"Z1_b[24]",1,0,1,1,1,1,1,1,1
"Z1_b[25]",1,0,1,1,1,1,1,1,1
"Z1_b[26]",0.027156862745098,0.162548324934387,0,0,0,0,1,1.00090881892032,10000
"Z1_b[27]",0.0335294117647059,0.180023241839381,0,0,0,0,1,1.00249768470387,5800
"Z1_b[28]",1,0,1,1,1,1,1,1,1
"Z1_b[29]",0.0468627450980392,0.211355169632723,0,0,0,0,1,1.0009576846466,10000
"Z1_b[30]",0.0419607843137255,0.200509397445457,0,0,0,0,1,1.00297863182596,4000
"Z1_b[31]",0.0517647058823529,0.221562482938513,0,0,0,0,1,1.00103591942348,10000
"Z1_b[32]",1,0,1,1,1,1,1,1,1
"Z1_b[33]",1,0,1,1,1,1,1,1,1
"Z1_b[34]",1,0,1,1,1,1,1,1,1
"Z1_b[35]",0.0326470588235294,0.1777197931468,0,0,0,0,1,1.00211647212522,7000
"Z1_b[36]",0.0326470588235294,0.1777197931468,0,0,0,0,1,1.00088052872782,10000
"Z1_b[37]",0.0299019607843137,0.170325211609017,0,0,0,0,1,1.00093552359261,10000
"Z1_b[38]",0.0306862745098039,0.172474761899663,0,0,0,0,1,1.00281315727945,5700
"Z1_b[39]",0.0834313725490196,0.276546698541568,0,0,0,0,1,1.00093758737412,10000
"Z1_b[40]",0,0,0,0,0,0,0,1,1
"Z1_b[41]",0.0244117647058824,0.154331349906939,0,0,0,0,0,1.00307112058324,6500
"Z1_b[42]",0.0898039215686274,0.285914658018926,0,0,0,0,1,1.00124138613816,5100
"Z1_b[43]",0.0286274509803922,0.166765243875138,0,0,0,0,1,1.00405154722823,4300
"Z1_b[44]",1,0,1,1,1,1,1,1,1
"Z1_b[45]",0.0802941176470588,0.271761316098244,0,0,0,0,1,1.00095993510889,10000
"Z2_a[1]",0,0,0,0,0,0,0,1,1
"Z2_a[2]",0,0,0,0,0,0,0,1,1
"Z2_a[3]",0.508725490196078,0.499948367897176,0,0,1,1,1,1.00103890971464,10000
"Z2_a[4]",0.504411764705882,0.500005046605401,0,0,1,1,1,1.0014792861532,3200
"Z2_a[5]",0,0,0,0,0,0,0,1,1
"Z2_a[6]",0,0,0,0,0,0,0,1,1
"Z2_a[7]",0.516176470588235,0.499762752062562,0,0,1,1,1,1.00186294203562,2000
"Z2_a[8]",0,0,0,0,0,0,0,1,1
"Z2_a[9]",0,0,0,0,0,0,0,1,1
"Z2_a[10]",0.524607843137255,0.499418568827933,0,0,1,1,1,1.00099023527877,10000
"Z2_a[11]",0.483823529411765,0.499762752062562,0,0,0,1,1,1.00111918854948,7500
"Z2_a[12]",0,0,0,0,0,0,0,1,1
"Z2_a[13]",0.511862745098039,0.499883760176227,0,0,1,1,1,1.00098443185007,10000
"Z2_a[14]",0,0,0,0,0,0,0,1,1
"Z2_a[15]",0.512254901960784,0.499874299059054,0,0,1,1,1,1.00085413520492,10000
"Z2_a[16]",0,0,0,0,0,0,0,1,1
"Z2_a[17]",0,0,0,0,0,0,0,1,1
"Z2_a[18]",0,0,0,0,0,0,0,1,1
"Z2_a[19]",0.514803921568627,0.499805296715902,0,0,1,1,1,1.00099741591605,10000
"Z2_a[20]",0,0,0,0,0,0,0,1,1
"Z2_a[21]",0.523137254901961,0.499488865895878,0,0,1,1,1,1.0011943157053,5800
"Z2_a[22]",1,0,1,1,1,1,1,1,1
"Z2_a[23]",0,0,0,0,0,0,0,1,1
"Z2_a[24]",0,0,0,0,0,0,0,1,1
"Z2_a[25]",0,0,0,0,0,0,0,1,1
