"Z1_a","Z1_b","Z2_a","Z2_ab","Z2_b","Z3_a","Z3_ab_dodge","Z3_ab_no_dodge","Z3_b","Z4_a","Z4_ab","Z4_b","Z5_a","Z5_b"
0,1,0,0.684509803921569,0.315490196078431,0,0.401078431372549,0.28343137254902,0.315490196078431,0.401078431372549,0.329411764705882,0.269509803921569,0.53156862745098,0.46843137254902
0,1,0,0,1,0,0,0,1,0,0.0847058823529412,0.915294117647059,0,1
0.970392156862745,0.0296078431372549,0.508725490196078,0.490294117647059,0.000980392156862745,0.508725490196078,0.322156862745098,0.168137254901961,0.000980392156862745,0.830882352941177,0.169117647058824,0,1,0
0.970588235294118,0.0294117647058824,0.504411764705882,0.49421568627451,0.00137254901960784,0.504411764705882,0.330686274509804,0.163529411764706,0.00137254901960784,0.835098039215686,0.164901960784314,0,1,0
0,1,0,0,1,0,0,0,1,0,0.166078431372549,0.833921568627451,0.0969607843137255,0.903039215686275
0,1,0,1,0,0,0,1,0,0,1,0,1,0
0.972647058823529,0.0273529411764706,0.516176470588235,0.482450980392157,0.00137254901960784,0.516176470588235,0.31843137254902,0.164019607843137,0.00137254901960784,0.834607843137255,0.165392156862745,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,0,1,0,0.0864705882352941,0.913529411764706,0,1
1,0,0.524607843137255,0.475392156862745,0,0.524607843137255,0.315294117647059,0.160098039215686,0,0.839901960784314,0.160098039215686,0,1,0
0.953235294117647,0.0467647058823529,0.483823529411765,0.500686274509804,0.0154901960784314,0.483823529411765,0.295686274509804,0.205,0.0154901960784314,0.779509803921569,0.207058823529412,0.0134313725490196,0.773823529411765,0.226176470588235
0,1,0,0,1,0,0,0,1,0,0,1,0,1
0.970196078431373,0.0298039215686275,0.511862745098039,0.486666666666667,0.00147058823529412,0.511862745098039,0.31656862745098,0.170098039215686,0.00147058823529412,0.82843137254902,0.17156862745098,0,1,0
0.91656862745098,0.0834313725490196,0,1,0,0,0,1,0,0,1,0,0.60578431372549,0.39421568627451
