"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"p_MM",0.829809833780085,0.0541041985966988,0.713037291774397,0.796004390186702,0.834731536249513,0.86930348565034,0.920374646583189,1.00109424891154,8200
"p_R1a",0.0717466809478577,0.0484517267894066,0.0087198182145923,0.0354570851781517,0.0616548394040554,0.0966746092123728,0.192553719028708,1.00089087203388,10000
"p_R1b",0.809884990961864,0.0954147377560119,0.593022366426076,0.751737374290343,0.823750488709668,0.881422414444598,0.954937735138715,1.0009250467673,10000
"p_R2a",0.285027306612265,0.219978484359723,0.0422865914891785,0.125263288560217,0.210807350923784,0.3782617920332,0.872444346686736,1.00094086821663,10000
"p_R2b",0.552527809059848,0.132581955827287,0.308605547133484,0.46116318961404,0.549319055333651,0.64039188480698,0.819394729358847,1.00085187548647,10000
"p_R3a",0.779625400903759,0.0950728037998375,0.590555695167299,0.715464045677817,0.782723603902298,0.84571289058378,0.958386263173219,1.00089990200828,10000
"p_R3b",0.525766097549285,0.124370759374972,0.293437121575525,0.437278260994874,0.524436513266068,0.611420769963671,0.773446445163824,1.00086998957959,10000
"p_RP1",0.509652792541507,0.0718385772496239,0.368665528023407,0.460548556042203,0.509877554102595,0.558945101258245,0.651309785264011,1.00087379154783,10000
"p_Rest",0.957287368296253,0.028921151807152,0.886500316571109,0.942017382495543,0.963543244873084,0.979130271003551,0.994691162381196,1.00091064720611,10000
"p_Rx1",0.553398283277263,0.0706248590456511,0.412710225336265,0.506066830209764,0.553804508382519,0.601492307258164,0.689291803692935,1.00095224374863,10000
"p_Rx2a",0.684797839345184,0.209897979891786,0.256207145441359,0.527258760806507,0.712136134536152,0.862476196747429,0.986305769998217,1.00155360849885,2900
"p_Rx2b",0.920823929659561,0.0683047147886145,0.746400280283887,0.886316400118128,0.93928689438494,0.973453054149547,0.997481101352453,1.00099977614531,10000
