table,key,field,expected,tolerance
Table 1,61690,fish_id,61690,0
Table 1,61690,fork_length_mm,147,0
Table 1,61690,weight_g,27.4,0.050000000001
Table 1,61690,RP1,1,0
Table 1,61690,all_MM,19,0
Table 1,61690,Rx1,203,0
Table 1,61690,R1a,0,0
Table 1,61690,R1b,1,0
Table 1,61690,R2a,0,0
Table 1,61690,Rx2b,0,0
Table 1,61690,Rx2a,0,0
Table 1,61690,R2b,0,0
Table 1,61690,R3a,0,0
Table 1,61690,R3b,0,0
Table 1,61690,HoT,7,0
Table 1,61690,Inner_Bay,3,0
Table 1,61690,Outer_Bay,9,0
Table 1,61690,all_SoBI,0,0
Table 1,61690,total_detections,243,0
Table 1,61690,release_Rx1_days,1.38,0.005000000001
Table 1,61690,release_HoT_days,3.56,0.005000000001
Table 1,61690,HoT_inner_days,1.03,0.005000000001
Table 1,61690,HoT_outer_days,3.94,0.005000000001
Table 1,61690,HoT_SoBI_days,NA,0.500000000001
Table 1,61691,fish_id,61691,0
Table 1,61691,fork_length_mm,145,0
Table 1,61691,weight_g,25.4,0.050000000001
Table 1,61691,RP1,1,0
Table 1,61691,all_MM,25,0
Table 1,61691,Rx1,27,0
Table 1,61691,R1a,0,0
Table 1,61691,R1b,1,0
Table 1,61691,R2a,0,0
Table 1,61691,Rx2b,1,0
Table 1,61691,Rx2a,0,0
Table 1,61691,R2b,0,0
Table 1,61691,R3a,0,0
Table 1,61691,R3b,2,0
Table 1,61691,HoT,15,0
Table 1,61691,Inner_Bay,0,0
Table 1,61691,Outer_Bay,27,0
Table 1,61691,all_SoBI,65,0
Table 1,61691,total_detections,164,0
Table 1,61691,release_Rx1_days,1.55,0.005000000001
Table 1,61691,release_HoT_days,3.95,0.005000000001
Table 1,61691,HoT_inner_days,NA,0.500000000001
Table 1,61691,HoT_outer_days,6.29,0.005000000001
Table 1,61691,HoT_SoBI_days,34.7,0.005000000001
Table 1,61692,fish_id,61692,0
Table 1,61692,fork_length_mm,145,0
Table 1,61692,weight_g,26.1,0.050000000001
Table 1,61692,RP1,1,0
Table 1,61692,all_MM,18,0
Table 1,61692,Rx1,1,0
Table 1,61692,R1a,0,0
