"check_id","category","quantity","expected","observed","tolerance","status","source","notes"
"H01","historical","Marked total","21674","21674","0","PASS","Author-approved reporting target",""
"H02","historical","Moses and Butters recaptures","87; 40","87; 40","0","PASS","Author-approved reporting target",""
"H03","historical","Pooled conditional Moses proportion","0.685","0.6850393700787402","5e-04","PASS","Author-approved reporting target",""
"H04","historical","Pooled exact 95% CI","0.597; 0.765","0.5966766244171813; 0.7645420929353536","5e-04","PASS","Author-approved reporting target",""
"H05","historical","Pearson-type dispersion","29.12","29.11528810906023","0.005","PASS","Author-approved reporting target",""
"H06","historical","Beta-binomial mean and among-year SD","0.688; 0.173","0.6881236408018730; 0.1727966832090192","5e-04","PASS","Author-approved reporting target",""
"H07","historical","Beta-binomial overdispersion","0.139130347521233","0.1391303475212331","1e-07","PASS","Author-approved reporting target",""
"H08","bootstrap","Dispersion replicates and exceedances","10000; 13","10000;    13","0","PASS","Author-approved reporting target",""
"H09","bootstrap","Dispersion plus-one p-value","0.0014","0.0013998600139986","5e-05","PASS","Author-approved reporting target",""
"H10","bootstrap","Successful LR replicates and exceedances","5000; 5","5000;    5","0","PASS","Author-approved reporting target",""
"H11","bootstrap","LR plus-one p-value","0.0012","0.001199760047990402","5e-05","PASS","Author-approved reporting target",""
"H12","bootstrap","Leave-one-out pooled range","0.648; 0.721","0.6481481481481481; 0.7207207207207207","5e-04","PASS","Author-approved reporting target",""
"H13","bootstrap","Leave-one-out bootstrap p range","0.001; 0.011","0.0009995002498750624; 0.0109945027486256872","5e-05","PASS","Author-approved reporting target",""
"D_mean_discharge_m3_s","discharge","Pearson r and p: mean_discharge_m3_s","0.41; 0.17","0.4050565714750887; 0.1697472831943951","0.005","PASS","Author-approved reporting target",""
"D_discharge_cv","discharge","Pearson r and p: discharge_cv","0.64; 0.018","0.64406045094220532; 0.01751154119761476","0.005; 5e-04","PASS","Author-approved reporting target",""
"D03","discharge","2022 context mean and CV","447.1; 0.482","447.1481481481481524;   0.4819984385797643","0.05; 5e-04","PASS","Author-approved reporting target",""
"D04","discharge","Historical regressions exclude 2022","FALSE","FALSE","0","PASS","Author-approved reporting target",""
"T01","telemetry","Tagged smolts","45","45","0","PASS","Author-approved reporting target",""
"T02","telemetry","Fork length mean and SD (mm)","145; 8.3","145.488888888888880;   8.250681024845003","0.5; 0.05","PASS","Author-approved reporting target",""
"T03","telemetry","Weight mean and SD (g)","27; 5.7","26.737777777777779;  5.686598635423819","0.5; 0.05","PASS","Author-approved reporting target",""
"T04","telemetry","Head of tide or beyond","44","44","0","PASS","Author-approved reporting target",""
"T05","telemetry","Remaining fish detected at D10","TRUE","TRUE","0","PASS","Author-approved reporting target",""
"T06","telemetry","Direct Moses; Butters; neither detections","2; 8; 7","2; 8; 7","0","PASS","Author-approved reporting target",""
"T07","telemetry","Island-network transit fish","21","21","0","PASS","Author-approved reporting target",""
"T08","telemetry","Receiver detected-fish totals","23; 38; 25; 1; 16; 2; 15; 7; 8; 22; 9; 44","23; 38; 25;  1; 16;  2; 15;  7;  8; 22;  9; 44","0","PASS","Author-approved reporting target",""
