year,station_id,station_name,window_start,window_end,lag_days,mean_discharge_m3_s,discharge_cv,coverage_complete,historical_correlation_included
2003,01BJ007,Restigouche River above Rafting Grounds,2003-05-10,2003-06-26,7,281.025,0.6921965986166264,TRUE,TRUE
2004,01BJ007,Restigouche River above Rafting Grounds,2004-05-08,2004-06-20,7,192.52272727272728,0.489347350047784,TRUE,TRUE
2005,01BJ007,Restigouche River above Rafting Grounds,2005-05-19,2005-06-18,7,218.09677419354838,0.47147489756953387,TRUE,TRUE
2006,01BJ007,Restigouche River above Rafting Grounds,2006-05-09,2006-06-16,7,267.5692307692308,0.4937729334461721,TRUE,TRUE
2007,01BJ007,Restigouche River above Rafting Grounds,2007-05-08,2007-06-12,7,319.94444444444446,0.5570620149007884,TRUE,TRUE
2008,01BJ007,Restigouche River above Rafting Grounds,2008-05-14,2008-06-13,7,304.03225806451616,0.6541056484293665,TRUE,TRUE
2009,01BJ007,Restigouche River above Rafting Grounds,2009-05-08,2009-06-13,7,373.56756756756755,0.57674840566883,TRUE,TRUE
2010,01BJ007,Restigouche River above Rafting Grounds,2010-05-09,2010-06-02,7,219.18,0.5841008477262594,TRUE,TRUE
2012,01BJ007,Restigouche River above Rafting Grounds,2012-05-09,2012-06-02,7,267.28,0.4382485734798131,TRUE,TRUE
2014,01BJ007,Restigouche River above Rafting Grounds,2014-05-18,2014-06-11,7,454.84,0.566197064445605,TRUE,TRUE
2016,01BJ007,Restigouche River above Rafting Grounds,2016-05-22,2016-06-09,7,388.6842105263158,0.4960543622017791,TRUE,TRUE
2017,01BJ007,Restigouche River above Rafting Grounds,2017-05-20,2017-06-06,7,209.16666666666666,0.40609234886971707,TRUE,TRUE
2019,01BJ007,Restigouche River above Rafting Grounds,2019-05-10,2019-06-17,7,421.5128205128205,0.5886033265899873,TRUE,TRUE
2022,01BJ007,Restigouche River above Rafting Grounds,2022-05-17,2022-06-12,7,447.14814814814815,0.48199843857976427,TRUE,FALSE
