year,C_B,C_K,C_Ma,C_Mo,C_U,M_B,M_B_mort,M_K,M_K_mort,M_Ma,M_Ma_mort,M_Mo,M_Mo_mort,M_U,M_U_mort,R_B,R_K,R_Ma,R_Mo,R_U,index_no_mark_B,index_no_mark_Mo
2002,692,1274,NA,86,NA,0,0,1198,0,0,0,0,0,0,0,0,4,NA,0,NA,0,0
2003,1402,1801,NA,2854,NA,1061,0,1706,0,0,0,2108,0,0,0,6,47,NA,21,NA,1,1
2004,2145,2484,NA,1725,640,2094,0,2272,0,0,0,1697,0,589,1,34,69,NA,11,49,1,1
2005,2662,1791,NA,2264,4985,2104,0,1620,0,0,0,1562,0,2018,2,29,39,NA,18,139,1,1
2006,897,1586,NA,791,NA,807,0,1453,0,0,0,722,0,0,0,6,16,NA,3,NA,1,1
2007,1760,3660,NA,1895,8094,1717,0,3348,0,0,0,1760,0,1950,0,18,109,NA,9,102,1,1
2008,1292,1203,NA,2537,793,1262,0,994,0,0,0,2252,0,644,0,15,25,NA,23,25,1,1
2009,2123,2537,NA,1728,409,2092,0,2275,0,0,0,1368,0,355,0,24,40,NA,17,32,1,1
2010,1227,2248,NA,1806,2426,1177,0,2000,0,0,0,1648,0,1148,2,8,46,NA,17,40,1,1
2011,NA,2578,NA,1740,NA,0,0,2370,0,0,0,1639,0,0,0,NA,19,NA,8,NA,1,1
2012,1945,2641,NA,1686,1124,1899,0,2348,0,0,0,1384,0,913,0,18,36,NA,11,5,1,1
2013,3,2677,NA,1,1511,0,0,2160,0,0,0,0,0,1131,0,NA,49,NA,NA,8,1,1
2014,531,852,NA,612,52,506,0,694,0,0,0,601,0,43,0,3,9,NA,5,2,1,1
2015,836,4547,8131,NA,1241,770,0,3335,0,2737,7,0,0,1123,0,12,62,39,NA,22,1,1
2016,678,1662,3877,421,NA,657,0,1299,0,3323,2,390,0,0,0,21,30,60,12,NA,1,1
2017,620,1111,4181,350,NA,615,0,996,0,2382,6,337,0,0,0,10,20,41,2,NA,1,1
2018,358,819,NA,132,1812,338,0,639,0,0,0,127,0,1727,0,6,5,NA,0,30,1,1
2019,972,818,NA,1041,2055,918,0,669,0,0,0,908,0,1972,0,11,8,NA,17,39,1,1
