nautical_twilight_start_datetime,sunrise_datetime,sunset_datetime,nautical_twilight_end_datetime
2022-05-24T03:08:00-0400,2022-05-24T04:38:00-0400,2022-05-24T20:10:00-0400,2022-05-24T21:41:00-0400
2022-05-25T03:06:00-0400,2022-05-25T04:37:00-0400,2022-05-25T20:11:00-0400,2022-05-25T21:42:00-0400
2022-05-26T03:05:00-0400,2022-05-26T04:36:00-0400,2022-05-26T20:12:00-0400,2022-05-26T21:44:00-0400
2022-05-27T03:04:00-0400,2022-05-27T04:35:00-0400,2022-05-27T20:13:00-0400,2022-05-27T21:45:00-0400
2022-05-28T03:02:00-0400,2022-05-28T04:34:00-0400,2022-05-28T20:14:00-0400,2022-05-28T21:47:00-0400
2022-05-29T03:01:00-0400,2022-05-29T04:34:00-0400,2022-05-29T20:15:00-0400,2022-05-29T21:48:00-0400
2022-05-30T03:00:00-0400,2022-05-30T04:33:00-0400,2022-05-30T20:16:00-0400,2022-05-30T21:50:00-0400
2022-05-31T02:59:00-0400,2022-05-31T04:32:00-0400,2022-05-31T20:17:00-0400,2022-05-31T21:51:00-0400
2022-06-01T02:58:00-0400,2022-06-01T04:31:00-0400,2022-06-01T20:18:00-0400,2022-06-01T21:53:00-0400
2022-06-02T02:56:00-0400,2022-06-02T04:31:00-0400,2022-06-02T20:19:00-0400,2022-06-02T21:54:00-0400
2022-06-03T02:55:00-0400,2022-06-03T04:30:00-0400,2022-06-03T20:20:00-0400,2022-06-03T21:55:00-0400
2022-06-04T02:55:00-0400,2022-06-04T04:30:00-0400,2022-06-04T20:21:00-0400,2022-06-04T21:57:00-0400
2022-06-05T02:54:00-0400,2022-06-05T04:29:00-0400,2022-06-05T20:22:00-0400,2022-06-05T21:58:00-0400
