year,kedgwick_marked_n,moses_recaptures_n,butters_recaptures_n,both_downstream_rsts_operational,first_marking_date,last_marking_date,analysis_included
2002,1198,0,0,TRUE,2002-05-10,2002-06-12,FALSE
2003,1706,17,2,TRUE,2003-05-10,2003-06-19,TRUE
2004,2272,6,7,TRUE,2004-05-08,2004-06-13,TRUE
2005,1620,4,4,TRUE,2005-05-19,2005-06-11,TRUE
2006,1453,3,0,TRUE,2006-05-09,2006-06-09,TRUE
2007,3348,5,7,TRUE,2007-05-08,2007-06-05,TRUE
2008,994,11,1,TRUE,2008-05-14,2008-06-06,TRUE
2009,2275,12,3,TRUE,2009-05-08,2009-06-06,TRUE
2010,2000,12,2,TRUE,2010-05-09,2010-05-26,TRUE
2012,2348,7,9,TRUE,2012-05-09,2012-05-26,TRUE
2013,2160,0,0,TRUE,2013-05-09,2013-05-25,FALSE
2014,694,1,0,TRUE,2014-05-18,2014-06-04,TRUE
2016,1299,3,4,TRUE,2016-05-22,2016-06-02,TRUE
2017,996,1,1,TRUE,2017-05-20,2017-05-30,TRUE
2018,639,0,0,TRUE,2018-05-17,2018-06-05,FALSE
2019,669,5,0,TRUE,2019-05-10,2019-06-10,TRUE
