edge_id,from_node,to_node,marginal_key,transition_parameter,complement,compulsory,display_order
E1,Z0,Z1_1,p1,p_Z1a,FALSE,FALSE,1
E2,Z0,Z1_2,p2,p_Z1a,TRUE,FALSE,2
E3,Z1_1,Z2_1,p11,p_Z2a,FALSE,FALSE,3
E4,Z1_1,Z2_2,p12,p_Z2a,TRUE,FALSE,4
E5,Z1_2,Z2_2,p22,p_Z2b,TRUE,FALSE,5
E6,Z1_2,Z2_3,p23,p_Z2b,FALSE,FALSE,6
E7,Z2_1,Z3_1,px11,NA,FALSE,TRUE,7
E8,Z2_2,Z3_2,px22,p_dodge,FALSE,FALSE,8
E9,Z2_2,Z3_3,px23,p_dodge,TRUE,FALSE,9
E10,Z2_3,Z3_4,px34,NA,FALSE,TRUE,10
E11,Z3_1,Z4_1,pxx11,NA,FALSE,TRUE,11
E12,Z3_2,Z4_1,pxx21,NA,FALSE,TRUE,12
E13,Z3_3,Z4_2,pxx32,NA,FALSE,TRUE,13
E14,Z3_4,Z4_2,pxx42,p_Z3b,TRUE,FALSE,14
E15,Z3_4,Z4_3,pxx43,p_Z3b,FALSE,FALSE,15
E16,Z4_1,Z5_1,pxxx11,p_Z5b_Z4a,TRUE,FALSE,16
E17,Z4_1,Z5_2,pxxx12,p_Z5b_Z4a,FALSE,FALSE,17
E18,Z4_2,Z5_1,pxxx21,p_Z5b_Z4ab,TRUE,FALSE,18
E19,Z4_2,Z5_2,pxxx22,p_Z5b_Z4ab,FALSE,FALSE,19
E20,Z4_3,Z5_2,pxxx32,NA,FALSE,TRUE,20
