fish_id,fish_index,release_datetime,fork_length_mm,weight_g
61690,1,2022-05-24T18:00:00-0400,147,27.4
61691,2,2022-05-24T17:21:00-0400,145,25.4
61692,3,2022-05-24T18:00:00-0400,145,26.1
61693,4,2022-05-24T18:00:00-0400,162,35.7
61834,5,2022-05-24T18:00:00-0400,146,25.6
61835,6,2022-05-24T16:24:00-0400,139,21
61836,7,2022-05-24T16:24:00-0400,163,42.5
61837,8,2022-05-24T17:21:00-0400,132,20.8
61838,9,2022-05-24T17:21:00-0400,148,28.9
61839,10,2022-05-24T16:24:00-0400,147,26.1
61840,11,2022-05-24T17:21:00-0400,142,25.8
61841,12,2022-05-24T17:21:00-0400,130,19.9
61842,13,2022-05-24T17:21:00-0400,149,26.7
61843,14,2022-05-24T18:00:00-0400,157,34.7
61844,15,2022-05-24T16:24:00-0400,134,19
61845,16,2022-05-24T16:24:00-0400,145,27.5
61846,17,2022-05-24T16:24:00-0400,159,35.7
61847,18,2022-05-24T16:24:00-0400,143,26
61848,19,2022-05-26T13:58:00-0400,140,26.9
61849,20,2022-05-26T13:58:00-0400,143,28.1
61850,21,2022-05-26T13:58:00-0400,141,24.1
61851,22,2022-05-26T13:58:00-0400,147,21.1
61852,23,2022-05-26T13:58:00-0400,138,21.5
61853,24,2022-05-26T13:58:00-0400,141,21.8
61854,25,2022-05-26T13:58:00-0400,134,20.4
61855,26,2022-05-26T13:58:00-0400,162,41.2
61856,27,2022-05-26T13:58:00-0400,147,29.5
61857,28,2022-05-26T13:58:00-0400,147,26
61858,29,2022-05-26T13:58:00-0400,135,19.3
61859,30,2022-05-26T13:58:00-0400,160,37.3
61860,31,2022-05-26T13:58:00-0400,155,31.3
61861,32,2022-05-26T13:58:00-0400,140,24.2
61870,33,2022-05-26T13:58:00-0400,145,25.3
61898,34,2022-05-24T18:00:00-0400,149,27.8
61899,35,2022-05-24T18:46:00-0400,141,23.9
61900,36,2022-05-24T18:46:00-0400,160,36.7
61901,37,2022-05-24T18:46:00-0400,141,23.2
61902,38,2022-05-24T18:46:00-0400,139,23.3
61903,39,2022-05-24T18:46:00-0400,148,23.7
61904,40,2022-05-24T18:46:00-0400,137,22
61905,41,2022-05-24T18:46:00-0400,141,22
61906,42,2022-05-24T18:00:00-0400,140,24.2
61907,43,2022-05-24T17:21:00-0400,146,26.9
61908,44,2022-05-24T17:21:00-0400,145,25.2
61909,45,2022-05-24T17:21:00-0400,152,31.5
