fish_id,location_id,first_detection_datetime,last_detection_datetime,detection_count,detected
61690,RP1,2022-05-25T05:36:43-0400,2022-05-25T05:36:43-0400,1,1
61690,all_MM,2022-05-26T01:44:51-0400,2022-05-26T01:51:02-0400,19,1
61690,Rx1,2022-05-26T03:13:44-0400,2022-05-26T16:40:27-0400,203,1
61690,R1a,NA,NA,0,0
61690,R1b,2022-05-26T20:14:54-0400,2022-05-26T20:14:54-0400,1,1
61690,R2a,NA,NA,0,0
61690,Rx2b,NA,NA,0,0
61690,Rx2a,NA,NA,0,0
61690,R2b,NA,NA,0,0
61690,R3a,NA,NA,0,0
61690,R3b,NA,NA,0,0
61690,HoT,2022-05-28T07:20:48-0400,2022-05-28T07:23:58-0400,7,1
61690,Inner_Bay,2022-05-29T08:04:10-0400,2022-05-29T08:06:20-0400,3,1
61690,Outer_Bay,2022-06-01T05:56:14-0400,2022-06-01T06:01:57-0400,9,1
61690,all_SoBI,NA,NA,0,0
61691,RP1,2022-05-25T21:58:03-0400,2022-05-25T21:58:03-0400,1,1
61691,all_MM,2022-05-26T04:02:14-0400,2022-05-26T04:12:16-0400,25,1
61691,Rx1,2022-05-26T06:39:15-0400,2022-05-26T20:15:43-0400,27,1
61691,R1a,NA,NA,0,0
61691,R1b,2022-05-26T20:34:36-0400,2022-05-26T20:34:36-0400,1,1
61691,R2a,NA,NA,0,0
61691,Rx2b,2022-05-26T21:10:57-0400,2022-05-26T21:10:57-0400,1,1
61691,Rx2a,NA,NA,0,0
61691,R2b,NA,NA,0,0
61691,R3a,NA,NA,0,0
61691,R3b,2022-05-26T21:31:38-0400,2022-05-26T21:32:28-0400,2,1
61691,HoT,2022-05-28T16:03:05-0400,2022-05-28T16:09:28-0400,15,1
61691,Inner_Bay,NA,NA,0,0
61691,Outer_Bay,2022-06-03T23:06:35-0400,2022-06-03T23:29:34-0400,27,1
61691,all_SoBI,2022-07-02T08:53:50-0400,2022-07-02T12:07:59-0400,65,1
61692,RP1,2022-05-25T21:18:56-0400,2022-05-25T21:18:56-0400,1,1
61692,all_MM,2022-05-26T03:16:55-0400,2022-05-26T03:22:51-0400,18,1
61692,Rx1,2022-05-26T19:38:13-0400,2022-05-26T19:38:13-0400,1,1
61692,R1a,NA,NA,0,0
61692,R1b,NA,NA,0,0
61692,R2a,NA,NA,0,0
61692,Rx2b,NA,NA,0,0
61692,Rx2a,NA,NA,0,0
61692,R2b,NA,NA,0,0
