datetime,tide_height_m,daylight_state
2022-05-24T12:00:00-0400,2.68,day
2022-05-24T12:15:00-0400,2.67,day
2022-05-24T12:30:00-0400,2.65,day
2022-05-24T12:45:00-0400,2.61,day
2022-05-24T13:00:00-0400,2.57,day
2022-05-24T13:15:00-0400,2.52,day
2022-05-24T13:30:00-0400,2.46,day
2022-05-24T13:45:00-0400,2.39,day
2022-05-24T14:00:00-0400,2.31,day
2022-05-24T14:15:00-0400,2.22,day
2022-05-24T14:30:00-0400,2.13,day
2022-05-24T14:45:00-0400,2.04,day
2022-05-24T15:00:00-0400,1.94,day
2022-05-24T15:15:00-0400,1.84,day
2022-05-24T15:30:00-0400,1.74,day
2022-05-24T15:45:00-0400,1.64,day
2022-05-24T16:00:00-0400,1.55,day
2022-05-24T16:15:00-0400,1.45,day
2022-05-24T16:30:00-0400,1.37,day
2022-05-24T16:45:00-0400,1.29,day
2022-05-24T17:00:00-0400,1.21,day
2022-05-24T17:15:00-0400,1.15,day
2022-05-24T17:30:00-0400,1.1,day
2022-05-24T17:45:00-0400,1.05,day
2022-05-24T18:00:00-0400,1.02,day
2022-05-24T18:15:00-0400,1,day
2022-05-24T18:30:00-0400,0.99,day
2022-05-24T18:45:00-0400,0.99,day
2022-05-24T19:00:00-0400,1.01,day
2022-05-24T19:15:00-0400,1.04,day
2022-05-24T19:30:00-0400,1.08,day
2022-05-24T19:45:00-0400,1.13,day
2022-05-24T20:00:00-0400,1.19,day
2022-05-24T20:15:00-0400,1.25,nautical_twilight
2022-05-24T20:30:00-0400,1.33,nautical_twilight
2022-05-24T20:45:00-0400,1.41,nautical_twilight
2022-05-24T21:00:00-0400,1.5,nautical_twilight
2022-05-24T21:15:00-0400,1.59,nautical_twilight
2022-05-24T21:30:00-0400,1.69,nautical_twilight
2022-05-24T21:45:00-0400,1.79,night
2022-05-24T22:00:00-0400,1.88,night
2022-05-24T22:15:00-0400,1.98,night
2022-05-24T22:30:00-0400,2.07,night
2022-05-24T22:45:00-0400,2.15,night
2022-05-24T23:00:00-0400,2.23,night
2022-05-24T23:15:00-0400,2.31,night
2022-05-24T23:30:00-0400,2.37,night
2022-05-24T23:45:00-0400,2.43,night
2022-05-25T00:00:00-0400,2.47,night
2022-05-25T00:15:00-0400,2.51,night
2022-05-25T00:30:00-0400,2.53,night
2022-05-25T00:45:00-0400,2.55,night
2022-05-25T01:00:00-0400,2.55,night
2022-05-25T01:15:00-0400,2.54,night
2022-05-25T01:30:00-0400,2.52,night
2022-05-25T01:45:00-0400,2.49,night
2022-05-25T02:00:00-0400,2.45,night
2022-05-25T02:15:00-0400,2.4,night
2022-05-25T02:30:00-0400,2.34,night
2022-05-25T02:45:00-0400,2.27,night
2022-05-25T03:00:00-0400,2.2,night
2022-05-25T03:15:00-0400,2.12,nautical_twilight
2022-05-25T03:30:00-0400,2.04,nautical_twilight
2022-05-25T03:45:00-0400,1.96,nautical_twilight
