model,parameter,variable,year,rhat,ess,constant
original,Nm_K[1],Nm_K,NA,1.0009047635524908,10000,FALSE
original,Nm_K[2],Nm_K,NA,1.000903092820434,10000,FALSE
original,Nm_K[3],Nm_K,NA,1.000991325039813,10000,FALSE
original,Nm_K[4],Nm_K,NA,1.0011322668409723,6400,FALSE
original,Nm_K[5],Nm_K,NA,1.000919911381336,10000,FALSE
original,Nm_K[6],Nm_K,NA,1.000940720933387,10000,FALSE
original,Nm_K[7],Nm_K,NA,1.000966701583851,10000,FALSE
original,Nm_K[8],Nm_K,NA,1.0011288454119274,6500,FALSE
original,Nm_K[9],Nm_K,NA,1.0012972313398634,3800,FALSE
original,Nm_K[10],Nm_K,NA,1.0010477806350102,10000,FALSE
original,Nm_K[11],Nm_K,NA,1.0010975382223413,7500,FALSE
original,Nm_K[12],Nm_K,NA,1.000927235209004,10000,FALSE
original,Nm_K[13],Nm_K,NA,1.0011385448183916,6300,FALSE
original,Nm_K[14],Nm_K,NA,1.0009053355105906,10000,FALSE
original,Nm_K[15],Nm_K,NA,1.00104961588346,9900,FALSE
original,Nm_K[16],Nm_K,NA,1.0010560427396986,9500,FALSE
original,Nm_K[17],Nm_K,NA,1.000938727409063,10000,FALSE
original,Nm_K[18],Nm_K,NA,1.0010473564820532,10000,FALSE
original,Nm_Ma[1],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[2],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[3],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[4],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[5],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[6],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[7],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[8],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[9],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[10],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[11],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[12],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[13],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[14],Nm_Ma,NA,1.000912894061449,10000,FALSE
original,Nm_Ma[15],Nm_Ma,NA,1.0010038565560375,10000,FALSE
original,Nm_Ma[16],Nm_Ma,NA,1.0009283133653737,10000,FALSE
original,Nm_Ma[17],Nm_Ma,NA,1,1,TRUE
original,Nm_Ma[18],Nm_Ma,NA,1,1,TRUE
original,Nm_U[1],Nm_U,NA,1,1,TRUE
original,Nm_U[2],Nm_U,NA,1,1,TRUE
original,Nm_U[3],Nm_U,NA,1.0011715509586412,5500,FALSE
original,Nm_U[4],Nm_U,NA,1.0008984372167462,10000,FALSE
original,Nm_U[5],Nm_U,NA,1,1,TRUE
original,Nm_U[6],Nm_U,NA,1.0009998779072893,10000,FALSE
original,Nm_U[7],Nm_U,NA,1.0009103812503237,10000,FALSE
original,Nm_U[8],Nm_U,NA,1.0009622190002383,10000,FALSE
original,Nm_U[9],Nm_U,NA,1.0009110468722768,10000,FALSE
original,Nm_U[10],Nm_U,NA,1,1,TRUE
original,Nm_U[11],Nm_U,NA,1.001562956754167,2300,FALSE
original,Nm_U[12],Nm_U,NA,1.0009313013479972,10000,FALSE
original,Nm_U[13],Nm_U,NA,1.0009165084036598,10000,FALSE
original,Nm_U[14],Nm_U,NA,1.0010438861598052,10000,FALSE
original,Nm_U[15],Nm_U,NA,1,1,TRUE
original,Nm_U[16],Nm_U,NA,1,1,TRUE
original,Nm_U[17],Nm_U,NA,1.0011394601584138,6200,FALSE
original,Nm_U[18],Nm_U,NA,1.0009514149451282,10000,FALSE
original,Nm_rest[1],Nm_rest,NA,1.0011569121298491,5800,FALSE
original,Nm_rest[2],Nm_rest,NA,1.0009017416280006,10000,FALSE
original,Nm_rest[3],Nm_rest,NA,1.0009125637785887,10000,FALSE
original,Nm_rest[4],Nm_rest,NA,1.0008993035952365,10000,FALSE
original,Nm_rest[5],Nm_rest,NA,1.0016865183743031,1900,FALSE
original,Nm_rest[6],Nm_rest,NA,1.0009076967217883,10000,FALSE
original,Nm_rest[7],Nm_rest,NA,1.0010911138504897,7800,FALSE
original,Nm_rest[8],Nm_rest,NA,1.0008986226259575,10000,FALSE
original,Nm_rest[9],Nm_rest,NA,1.0009852405568271,10000,FALSE
original,Nm_rest[10],Nm_rest,NA,1.0009081658673704,10000,FALSE
original,Nm_rest[11],Nm_rest,NA,1.000917480165848,10000,FALSE
original,Nm_rest[12],Nm_rest,NA,1.0011872730327185,5200,FALSE
original,Nm_rest[13],Nm_rest,NA,1.0009417506201255,10000,FALSE
original,Nm_rest[14],Nm_rest,NA,1.0011185010228938,6800,FALSE
original,Nm_rest[15],Nm_rest,NA,1.001541974235659,2300,FALSE
original,Nm_rest[16],Nm_rest,NA,1.0009958177794476,10000,FALSE
original,Nm_rest[17],Nm_rest,NA,1.002250703843676,1100,FALSE
original,Nm_rest[18],Nm_rest,NA,1.0009080065683176,10000,FALSE
original,Nm_tot[1],Nm_tot,2002,1.0010925724563162,7700,FALSE
original,Nm_tot[2],Nm_tot,2003,1.0009011467169042,10000,FALSE
original,Nm_tot[3],Nm_tot,2004,1.0009270910210002,10000,FALSE
original,Nm_tot[4],Nm_tot,2005,1.0009121399121146,10000,FALSE
original,Nm_tot[5],Nm_tot,2006,1.0015534339553755,2300,FALSE
original,Nm_tot[6],Nm_tot,2007,1.0009003835721118,10000,FALSE
original,Nm_tot[7],Nm_tot,2008,1.001122737607372,6700,FALSE
original,Nm_tot[8],Nm_tot,2009,1.000909012815693,10000,FALSE
original,Nm_tot[9],Nm_tot,2010,1.0009347893118503,10000,FALSE
original,Nm_tot[10],Nm_tot,2011,1.0009000126822867,10000,FALSE
original,Nm_tot[11],Nm_tot,2012,1.0009939949420663,10000,FALSE
original,Nm_tot[12],Nm_tot,2013,1.001180331155565,5300,FALSE
original,Nm_tot[13],Nm_tot,2014,1.001005368341753,10000,FALSE
original,Nm_tot[14],Nm_tot,2015,1.0011905084307011,5100,FALSE
original,Nm_tot[15],Nm_tot,2016,1.0019405813078788,1400,FALSE
original,Nm_tot[16],Nm_tot,2017,1.001044085536968,10000,FALSE
original,Nm_tot[17],Nm_tot,2018,1.0016224997493606,2100,FALSE
original,Nm_tot[18],Nm_tot,2019,1.0009582563287178,10000,FALSE
original,"delta[1,1]",delta,NA,1.0011702872447448,5500,FALSE
original,"delta[2,1]",delta,NA,1.0013631984168212,3200,FALSE
original,"delta[3,1]",delta,NA,1.0016465917441157,2000,FALSE
original,"delta[4,1]",delta,NA,1.003154801173899,670,FALSE
original,"delta[5,1]",delta,NA,1.0009806958970024,10000,FALSE
original,"delta[6,1]",delta,NA,1.0009874380985737,10000,FALSE
original,"delta[7,1]",delta,NA,1.001043649378254,10000,FALSE
original,"delta[8,1]",delta,NA,1.0009322360027715,10000,FALSE
original,"delta[9,1]",delta,NA,1.002814085576101,780,FALSE
original,"delta[10,1]",delta,NA,1.0013641489144174,3200,FALSE
original,"delta[11,1]",delta,NA,1.0013751737253087,3200,FALSE
original,"delta[12,1]",delta,NA,1.0011469794421368,6000,FALSE
original,"delta[13,1]",delta,NA,1.0009144037875526,10000,FALSE
original,"delta[14,1]",delta,NA,1.001112344554598,7000,FALSE
original,"delta[15,1]",delta,NA,1.0016974331370487,1900,FALSE
original,"delta[16,1]",delta,NA,1.001212345249112,4800,FALSE
original,"delta[17,1]",delta,NA,1.000899493698835,10000,FALSE
original,"delta[18,1]",delta,NA,1.0012378320585216,4400,FALSE
original,"delta[1,2]",delta,NA,1.0029715270508182,730,FALSE
original,"delta[2,2]",delta,NA,1.0014363251125782,2800,FALSE
original,"delta[3,2]",delta,NA,1.0017533053532364,1800,FALSE
original,"delta[4,2]",delta,NA,1.0028835160206873,760,FALSE
original,"delta[5,2]",delta,NA,1.0016275873909566,2100,FALSE
original,"delta[6,2]",delta,NA,1.0010001742269654,10000,FALSE
original,"delta[7,2]",delta,NA,1.0010787172424045,8300,FALSE
original,"delta[8,2]",delta,NA,1.0009465766133268,10000,FALSE
original,"delta[9,2]",delta,NA,1.0024456536533077,970,FALSE
original,"delta[10,2]",delta,NA,1.0016588345398278,2000,FALSE
original,"delta[11,2]",delta,NA,1.0009839223595507,10000,FALSE
original,"delta[12,2]",delta,NA,1.0011020164385878,7400,FALSE
original,"delta[13,2]",delta,NA,1.0009009356646654,10000,FALSE
original,"delta[14,2]",delta,NA,1.0012489669466218,4300,FALSE
original,"delta[15,2]",delta,NA,1.001662204779981,2000,FALSE
original,"delta[16,2]",delta,NA,1.0013813025989886,3100,FALSE
original,"delta[17,2]",delta,NA,1.0009057904109697,10000,FALSE
original,"delta[18,2]",delta,NA,1.0010410206111344,10000,FALSE
original,"delta[3,3]",delta,NA,1.0016967693808099,1900,FALSE
original,"delta[4,3]",delta,NA,1.003085153675094,690,FALSE
original,"delta[6,3]",delta,NA,1.0009544673533075,10000,FALSE
original,"delta[7,3]",delta,NA,1.0010353490311186,10000,FALSE
original,"delta[8,3]",delta,NA,1.0010085378344433,10000,FALSE
original,"delta[9,3]",delta,NA,1.0022827531251846,1100,FALSE
original,"delta[11,3]",delta,NA,1.0016749313308024,1900,FALSE
original,"delta[12,3]",delta,NA,1.002410372778412,990,FALSE
original,"delta[13,3]",delta,NA,1.0008997218228421,10000,FALSE
original,"delta[14,3]",delta,NA,1.0011658684695914,5600,FALSE
original,"delta[15,3]",delta,NA,1.002135797557169,1200,FALSE
