fish_index,fish_id,quantity,mean,sd,rhat,rhat_upper_95,ess,mcse,mcse_over_sd,chain_1_mean,chain_2_mean,chain_3_mean,chain_mean_range,constant
1,61690,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
1,61690,Butters,0.269509803921569,0.44372691241706,1.00005194391168,1.00047276749164,9643.9979215521,0.00452305271589751,0.010193325194678,0.265294117647059,0.265882352941176,0.277352941176471,0.0120588235294117,FALSE
1,61690,Neither,0.730490196078431,0.44372691241706,1.00005194391168,1.00047276749164,9643.9979215521,0.00452305271589751,0.010193325194678,0.734705882352941,0.734117647058824,0.722647058823529,0.0120588235294118,FALSE
2,61691,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
2,61691,Butters,0.915294117647059,0.278457173819319,0.999884112812478,0.999910113115184,10391.4231271915,0.00273286691046075,0.00981431676899091,0.916176470588235,0.914117647058823,0.915588235294118,0.00205882352941178,FALSE
2,61691,Neither,0.0847058823529412,0.278457173819319,0.999884112812478,0.999910113115184,10391.4231271915,0.00273286691046075,0.00981431676899091,0.0838235294117647,0.0858823529411765,0.0844117647058824,0.00205882352941177,FALSE
3,61692,Moses,0.508725490196078,0.499948367897176,1.00004048724739,1.00054430745531,10202.3563580199,0.00495859163183418,0.00991820745948311,0.500294117647059,0.517058823529412,0.508823529411765,0.016764705882353,FALSE
3,61692,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
3,61692,Neither,0.491274509803922,0.499948367897176,1.00004048724739,1.00054430745531,10202.3563580199,0.00495859163183418,0.00991820745948311,0.499705882352941,0.482941176470588,0.491176470588235,0.0167647058823529,FALSE
4,61693,Moses,0.504411764705882,0.500005046605401,1.00048107967121,1.00216606544047,9448.0423488335,0.00514426206134577,0.0102884202794968,0.487352941176471,0.508823529411765,0.517058823529412,0.0297058823529412,FALSE
4,61693,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
4,61693,Neither,0.495588235294118,0.500005046605401,1.00048107967121,1.00216606544047,9448.0423488335,0.00514426206134577,0.0102884202794968,0.512647058823529,0.491176470588235,0.482941176470588,0.0297058823529412,FALSE
5,61834,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
5,61834,Butters,0.833921568627451,0.372169269840696,1.0003952271612,1.0012024783248,10200.0000000002,0.00368483349298265,0.00990096117973393,0.836764705882353,0.84,0.825,0.015,FALSE
5,61834,Neither,0.166078431372549,0.372169269840696,1.0003952271612,1.0012024783248,10200.0000000002,0.00368483349298265,0.00990096117973393,0.163235294117647,0.16,0.175,0.015,FALSE
6,61835,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
6,61835,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
6,61835,Neither,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
7,61836,Moses,0.516176470588235,0.499762752062562,1.00086666718047,1.00357913564316,9210.77639734428,0.00520598920120799,0.0104169211885489,0.494117647058824,0.530882352941176,0.523529411764706,0.0367647058823529,FALSE
7,61836,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
7,61836,Neither,0.483823529411765,0.499762752062562,1.00086666718047,1.00357913564316,9210.77639734428,0.00520598920120799,0.0104169211885489,0.505882352941176,0.46911764705882403,0.476470588235294,0.0367647058823529,FALSE
8,61837,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
8,61837,Butters,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
8,61837,Neither,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
9,61838,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
9,61838,Butters,0.913529411764706,0.281071469235783,1.00035935064213,1.00079000127164,9674.78921114563,0.00286106879081654,0.0101791505149762,0.916470588235294,0.915588235294118,0.908529411764706,0.00794117647058823,FALSE
9,61838,Neither,0.0864705882352941,0.281071469235783,1.00035935064213,1.00079000127164,9674.78921114563,0.00286106879081654,0.0101791505149762,0.0835294117647059,0.0844117647058824,0.0914705882352941,0.00794117647058824,FALSE
10,61839,Moses,0.524607843137255,0.499418568827933,0.999992113190116,1.00036526295657,9421.28936752791,0.00514616839427164,0.0103043192934315,0.517352941176471,0.531764705882353,0.524705882352941,0.0144117647058823,FALSE
10,61839,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
10,61839,Neither,0.475392156862745,0.499418568827933,0.999992113190116,1.00036526295657,9421.28936752791,0.00514616839427164,0.0103043192934315,0.482647058823529,0.468235294117647,0.475294117647059,0.0144117647058823,FALSE
11,61840,Moses,0.483823529411765,0.499762752062562,1.00012099135613,1.00084027579868,9491.11884997229,0.00513791956953994,0.0102807172970281,0.481764705882353,0.494705882352941,0.475,0.0197058823529412,FALSE
11,61840,Butters,0.0134313725490196,0.115118504258126,1.00968039201862,1.01118221654595,9010.92286536674,0.00121756426742413,0.0105766164637965,0.0132352941176471,0.0102941176470588,0.0167647058823529,0.00647058823529412,FALSE
11,61840,Neither,0.502745098039216,0.50001697561681,0.999979908847124,1.00032116711638,9261.64300362967,0.0052032474428793,0.0104061415844146,0.505,0.495,0.508235294117647,0.013235294117647,FALSE
12,61841,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
12,61841,Butters,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
12,61841,Neither,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
13,61842,Moses,0.511862745098039,0.499883760176227,0.999986057505929,1.00034362583102,9866.54404103859,0.00503870644994316,0.0100797562380639,0.517058823529412,0.503823529411765,0.514705882352941,0.0132352941176471,FALSE
13,61842,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
13,61842,Neither,0.488137254901961,0.499883760176227,0.999986057505929,1.00034362583102,9866.54404103859,0.00503870644994316,0.0100797562380639,0.482941176470588,0.496176470588235,0.485294117647059,0.013235294117647,FALSE
14,61843,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
14,61843,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
14,61843,Neither,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
15,61844,Moses,0.512254901960784,0.499874299059054,0.999855778449056,0.999863431914663,9491.49894558653,0.00514232990333228,0.0102872460396784,0.512352941176471,0.513235294117647,0.511176470588235,0.00205882352941167,FALSE
