parameter,saved_rhat,saved_ess,constant,scientific_monitor,coda_rhat,coda_ess
Z1_a[1],1,1,TRUE,TRUE,NA,NA
Z1_a[2],1,1,TRUE,TRUE,NA,NA
Z1_a[3],1.0009503984948294,10000,FALSE,TRUE,1.00071367171039,10199.9999999997
Z1_a[4],1.0083947426721411,2000,FALSE,TRUE,1.00839474267214,9953.74335730298
Z1_a[5],1,1,TRUE,TRUE,NA,NA
Z1_a[6],1,1,TRUE,TRUE,NA,NA
Z1_a[7],1.0008664726751961,10000,FALSE,TRUE,0.999995433535509,9620.33334159786
Z1_a[8],1,1,TRUE,TRUE,NA,NA
Z1_a[9],1,1,TRUE,TRUE,NA,NA
Z1_a[10],1,1,TRUE,TRUE,NA,NA
Z1_a[11],1.0008914255614563,10000,FALSE,TRUE,1.00007781407115,9906.74470571275
Z1_a[12],1,1,TRUE,TRUE,NA,NA
Z1_a[13],1.0013376445160798,10000,FALSE,TRUE,1.00133764451608,10014.1617275255
Z1_a[14],1.0009187161772253,10000,FALSE,TRUE,1.00007295550364,10048.8286480873
Z1_a[15],1.0009358504806407,10000,FALSE,TRUE,1.00061878802254,10059.9699820863
Z1_a[16],1,1,TRUE,TRUE,NA,NA
Z1_a[17],1,1,TRUE,TRUE,NA,NA
Z1_a[18],1,1,TRUE,TRUE,NA,NA
Z1_a[19],1.002182449750938,7800,FALSE,TRUE,1.00218244975094,10200.0000000001
Z1_a[20],1,1,TRUE,TRUE,NA,NA
Z1_a[21],1.0008895605592139,10000,FALSE,TRUE,1.00016451448772,9832.83959301073
Z1_a[22],1,1,TRUE,TRUE,NA,NA
Z1_a[23],1.0012111385145421,5600,FALSE,TRUE,1.00104708136572,10199.9999999999
Z1_a[24],1,1,TRUE,TRUE,NA,NA
Z1_a[25],1,1,TRUE,TRUE,NA,NA
Z1_a[26],1.0009088189203188,10000,FALSE,TRUE,1.00039660435536,10200.0000000006
Z1_a[27],1.0024976847038658,5800,FALSE,TRUE,1.00249768470387,10200.0000000001
Z1_a[28],1,1,TRUE,TRUE,NA,NA
Z1_a[29],1.0009576846466015,10000,FALSE,TRUE,1.00044695046174,9773.95410502651
Z1_a[30],1.002978631825958,4000,FALSE,TRUE,1.00297863182596,9894.42801175759
Z1_a[31],1.0010359194234828,10000,FALSE,TRUE,1.00079111899867,10200
Z1_a[32],1,1,TRUE,TRUE,NA,NA
Z1_a[33],1,1,TRUE,TRUE,NA,NA
Z1_a[34],1,1,TRUE,TRUE,NA,NA
Z1_a[35],1.0021164721252238,7000,FALSE,TRUE,1.00211647212522,10200.0000000003
Z1_a[36],1.0008805287278226,10000,FALSE,TRUE,1.00008411905758,9941.08609371114
Z1_a[37],1.0009355235926085,10000,FALSE,TRUE,1.0005774455854901,10274.6718556619
Z1_a[38],1.002813157279453,5700,FALSE,TRUE,1.00281315727945,9377.5900266417
Z1_a[39],1.0009375873741235,10000,FALSE,TRUE,1.00013456529724,9999.11648664332
Z1_a[40],1,1,TRUE,TRUE,NA,NA
Z1_a[41],1.0030711205832363,6500,FALSE,TRUE,1.00307112058324,10199.9999999999
Z1_a[42],1.0012413861381564,5100,FALSE,TRUE,1.00104380036073,9619.00290957823
Z1_a[43],1.0040515472282325,4300,FALSE,TRUE,1.00405154722823,9232.99360820314
Z1_a[44],1,1,TRUE,TRUE,NA,NA
Z1_a[45],1.000959935108893,10000,FALSE,TRUE,1.00022000602435,9749.08263050687
Z1_b[1],1,1,TRUE,TRUE,NA,NA
Z1_b[2],1,1,TRUE,TRUE,NA,NA
Z1_b[3],1.0009503984948294,10000,FALSE,TRUE,1.00071367171039,10199.9999999997
Z1_b[4],1.008394742672141,2000,FALSE,TRUE,1.00839474267214,9953.74335730298
Z1_b[5],1,1,TRUE,TRUE,NA,NA
Z1_b[6],1,1,TRUE,TRUE,NA,NA
Z1_b[7],1.0008664726751961,10000,FALSE,TRUE,0.999995433535509,9620.33334159786
Z1_b[8],1,1,TRUE,TRUE,NA,NA
Z1_b[9],1,1,TRUE,TRUE,NA,NA
Z1_b[10],1,1,TRUE,TRUE,NA,NA
Z1_b[11],1.0008914255614563,10000,FALSE,TRUE,1.00007781407115,9906.74470571275
Z1_b[12],1,1,TRUE,TRUE,NA,NA
Z1_b[13],1.0013376445160798,10000,FALSE,TRUE,1.00133764451608,10014.1617275255
Z1_b[14],1.0009187161772253,10000,FALSE,TRUE,1.00007295550364,10048.8286480873
Z1_b[15],1.0009358504806407,10000,FALSE,TRUE,1.00061878802254,10059.9699820863
Z1_b[16],1,1,TRUE,TRUE,NA,NA
Z1_b[17],1,1,TRUE,TRUE,NA,NA
Z1_b[18],1,1,TRUE,TRUE,NA,NA
Z1_b[19],1.002182449750938,7800,FALSE,TRUE,1.00218244975094,10200.0000000001
Z1_b[20],1,1,TRUE,TRUE,NA,NA
Z1_b[21],1.0008895605592139,10000,FALSE,TRUE,1.00016451448772,9832.83959301073
Z1_b[22],1,1,TRUE,TRUE,NA,NA
Z1_b[23],1.0012111385145421,5600,FALSE,TRUE,1.00104708136572,10199.9999999999
Z1_b[24],1,1,TRUE,TRUE,NA,NA
Z1_b[25],1,1,TRUE,TRUE,NA,NA
Z1_b[26],1.0009088189203188,10000,FALSE,TRUE,1.00039660435536,10200.0000000006
Z1_b[27],1.0024976847038658,5800,FALSE,TRUE,1.00249768470387,10200.0000000001
Z1_b[28],1,1,TRUE,TRUE,NA,NA
Z1_b[29],1.0009576846466015,10000,FALSE,TRUE,1.00044695046174,9773.95410502651
Z1_b[30],1.002978631825958,4000,FALSE,TRUE,1.00297863182596,9894.42801175759
Z1_b[31],1.0010359194234828,10000,FALSE,TRUE,1.00079111899867,10200
Z1_b[32],1,1,TRUE,TRUE,NA,NA
Z1_b[33],1,1,TRUE,TRUE,NA,NA
Z1_b[34],1,1,TRUE,TRUE,NA,NA
Z1_b[35],1.0021164721252238,7000,FALSE,TRUE,1.00211647212522,10200.0000000003
Z1_b[36],1.0008805287278226,10000,FALSE,TRUE,1.00008411905758,9941.08609371114
Z1_b[37],1.0009355235926085,10000,FALSE,TRUE,1.0005774455854901,10274.6718556619
Z1_b[38],1.002813157279453,5700,FALSE,TRUE,1.00281315727945,9377.5900266417
Z1_b[39],1.0009375873741235,10000,FALSE,TRUE,1.00013456529724,9999.11648664332
